hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,1.004554421349995e-05,0.0006609581744244277,344.7329931972789
1,-1.7218531805114702e-05,0.000792753390757741,521.5672913117547
2,2.0184737551308336e-05,0.000607268218617526,391.9398625429553
3,-4.0673579723757756e-05,0.00043979211018677794,253.76388888888889
4,-1.542205772650476e-05,0.00036490877346106787,215.10833333333332
5,2.0326679936345333e-05,0.0005779842430632826,377.5959933222037
6,1.990198391261892e-05,0.0005401171072363645,417.05333333333334
7,3.528607280959791e-05,0.0005267774467607748,424.06166666666667
8,-1.013238535145666e-05,0.0005513301632265768,446.18196994991655
9,5.77106560130954e-06,0.00044716112487752126,435.09
10,-5.559609329536049e-05,0.0004189747351143197,347.6616666666667
11,1.6593932616653085e-05,0.0005071460289224025,460.9365609348915
12,-2.454222508772715e-05,0.0008825986513111202,1187.8133333333333
13,-2.2740982168810894e-05,0.0010014216625207745,1425.4283333333333
14,-7.033050115584036e-05,0.0008811661720522199,1364.8614357262104
15,1.1985224321954627e-05,0.0007208824815784152,1027.1
16,-8.383759223243674e-06,0.0005670900215196544,713.23
17,2.0961800001934223e-05,0.000448470972966394,715.85
18,7.972501195550966e-06,0.0005231192437454477,503.3933333333333
19,2.3078583392403083e-05,0.00048449655754484114,436.7979966611018
20,-1.1166835041749868e-05,0.00033548805628263773,188.00166666666667
21,-7.079257009406925e-05,0.0006197605346909274,1.0
22,-4.402071173540139e-05,0.00040031354770997824,173.5456140350877
23,-2.3795443240402357e-05,0.000393374675457517,203.25510204081633
