hour_utc,mean_bar_return,mean_abs_return,mean_volume
0,-4.2965026732771574e-05,0.0006609581744244277,344.7329931972789
1,-1.5623014440896242e-05,0.000792753390757741,521.5672913117547
2,1.3003915306761824e-05,0.000607268218617526,391.9398625429553
3,-1.2974183459267734e-05,0.00043979211018677794,253.76388888888889
4,1.0098164009172715e-05,0.00036490877346106787,215.10833333333332
5,-1.1816345839503257e-05,0.0005779842430632826,377.5959933222037
6,3.368443164819398e-05,0.0005401171072363645,417.05333333333334
7,5.34878833660953e-05,0.0005267774467607748,424.06166666666667
8,-1.218929809569583e-05,0.0005513301632265768,446.18196994991655
9,-1.5193752012978197e-05,0.00044716112487752126,435.09
10,-1.3279275281332473e-05,0.0004189747351143197,347.6616666666667
11,4.758911934037925e-06,0.0005071460289224025,460.9365609348915
12,4.9578369556208164e-05,0.0008825986513111202,1187.8133333333333
13,5.8462714537328615e-05,0.0010014216625207745,1425.4283333333333
14,-6.07981880502717e-06,0.0008811661720522199,1364.8614357262104
15,1.516230136048291e-06,0.0007208824815784152,1027.1
16,6.0304227322166556e-06,0.0005670900215196544,713.23
17,-1.3401816681435364e-06,0.000448470972966394,715.85
18,-3.3218265301565575e-06,0.0005231192437454477,503.3933333333333
19,1.8398268022524014e-05,0.00048449655754484114,436.7979966611018
20,1.6070662831232745e-05,0.00033548805628263773,188.00166666666667
21,9.150353013054335e-05,0.0006197605346909274,1.0
22,-6.790497873475593e-05,0.00040031354770997824,173.5456140350877
23,3.0595669752650774e-05,0.000393374675457517,203.25510204081633
