ts,equity
2026-07-18 00:00:00+00:00,863227.5476985009
2026-07-19 00:00:00+00:00,663221.6002890852
2026-07-20 00:00:00+00:00,647039.7428879946
2026-07-21 00:00:00+00:00,510211.9611222855
2026-07-22 00:00:00+00:00,392011.72252845916
2026-07-23 00:00:00+00:00,337719.79338996374
2026-07-24 00:00:00+00:00,317634.68911095086
2026-07-25 00:00:00+00:00,271887.9650594297
2026-07-26 00:00:00+00:00,291863.6580684549
2026-07-27 00:00:00+00:00,252896.1130060622
2026-07-28 00:00:00+00:00,220369.44981644818
2026-07-29 00:00:00+00:00,215868.94567586188
2026-07-30 00:00:00+00:00,152894.87531269243
2026-07-31 00:00:00+00:00,130722.24818336742
2026-08-01 00:00:00+00:00,125083.0139142302
2026-08-02 00:00:00+00:00,123575.08497047696
2026-08-03 00:00:00+00:00,114184.49851322948
2026-08-04 00:00:00+00:00,87549.31053041566
2026-08-05 00:00:00+00:00,76636.03074385124
2026-08-06 00:00:00+00:00,61425.15157049134
2026-08-07 00:00:00+00:00,48513.89946369805
2026-08-08 00:00:00+00:00,40809.185759346125
2026-08-09 00:00:00+00:00,36069.76095764315
2026-08-10 00:00:00+00:00,32882.93954197178
2026-08-11 00:00:00+00:00,32502.622352710958
2026-08-12 00:00:00+00:00,29235.699459489548
2026-08-13 00:00:00+00:00,26021.27880642999
2026-08-14 00:00:00+00:00,20604.76172806588
2026-08-15 00:00:00+00:00,17165.418839636524
2026-08-16 00:00:00+00:00,14946.28555805275
2026-08-17 00:00:00+00:00,12853.236692970306
2026-08-18 00:00:00+00:00,11306.2090631121
2026-08-19 00:00:00+00:00,22603.13258200875
2026-08-20 00:00:00+00:00,15316.00380529487
2026-08-21 00:00:00+00:00,15792.373458805994
2026-08-22 00:00:00+00:00,11493.87742046478
2026-08-23 00:00:00+00:00,8009.290018895763
2026-08-24 00:00:00+00:00,5361.288132234586
2026-08-25 00:00:00+00:00,3963.3791223932712
2026-08-26 00:00:00+00:00,3042.3911444212285
2026-08-27 00:00:00+00:00,2332.1850994200227
2026-08-28 00:00:00+00:00,1811.7691101819748
2026-08-29 00:00:00+00:00,1532.3549102413886
2026-08-30 00:00:00+00:00,1428.5979994475344
2026-08-31 00:00:00+00:00,994.2674518840766
2026-09-01 00:00:00+00:00,849.4904253552435
2026-09-02 00:00:00+00:00,734.2438490494543
2026-09-03 00:00:00+00:00,808.2769632925538
2026-09-04 00:00:00+00:00,560.9837917386847
2026-09-05 00:00:00+00:00,504.0364099004216
2026-09-06 00:00:00+00:00,487.12184412233324
2026-09-07 00:00:00+00:00,436.2002632540781
2026-09-08 00:00:00+00:00,355.146167682239
2026-09-09 00:00:00+00:00,355.0919383529609
2026-09-10 00:00:00+00:00,317.1937179994691
2026-09-11 00:00:00+00:00,259.981544277918
2026-09-12 00:00:00+00:00,220.63102350394539
2026-09-13 00:00:00+00:00,204.4161908086428
2026-09-14 00:00:00+00:00,187.33167700704868
2026-09-15 00:00:00+00:00,162.0000616835637
2026-09-16 00:00:00+00:00,140.93207732174218
