ts,equity
2026-07-18 00:00:00+00:00,925523.5180703033
2026-07-19 00:00:00+00:00,786672.7228963467
2026-07-20 00:00:00+00:00,764486.996943579
2026-07-21 00:00:00+00:00,681761.0315624059
2026-07-22 00:00:00+00:00,606405.9273964623
2026-07-23 00:00:00+00:00,537652.2063706081
2026-07-24 00:00:00+00:00,490351.599755826
2026-07-25 00:00:00+00:00,414434.0079459993
2026-07-26 00:00:00+00:00,370476.0238395494
2026-07-27 00:00:00+00:00,327000.45856559183
2026-07-28 00:00:00+00:00,283054.4304310418
2026-07-29 00:00:00+00:00,273831.91433833115
2026-07-30 00:00:00+00:00,246417.82991448484
2026-07-31 00:00:00+00:00,236229.1231673018
2026-08-01 00:00:00+00:00,197839.13501433536
2026-08-02 00:00:00+00:00,170979.80187171602
2026-08-03 00:00:00+00:00,154870.07347696667
2026-08-04 00:00:00+00:00,135510.0760206714
2026-08-05 00:00:00+00:00,116122.71049269788
2026-08-06 00:00:00+00:00,105539.56241022801
2026-08-07 00:00:00+00:00,90051.26953680374
2026-08-08 00:00:00+00:00,76644.99428117798
2026-08-09 00:00:00+00:00,64641.98249951056
2026-08-10 00:00:00+00:00,57164.40476829417
2026-08-11 00:00:00+00:00,48271.11768114764
2026-08-12 00:00:00+00:00,42623.41208982956
2026-08-13 00:00:00+00:00,37452.567321141214
2026-08-14 00:00:00+00:00,32362.52247150908
2026-08-15 00:00:00+00:00,27355.062565090375
2026-08-16 00:00:00+00:00,22802.9742329974
2026-08-17 00:00:00+00:00,19837.906603264193
2026-08-18 00:00:00+00:00,17723.666073417822
2026-08-19 00:00:00+00:00,17159.492622095542
2026-08-20 00:00:00+00:00,15396.602851107295
2026-08-21 00:00:00+00:00,13935.43338706472
2026-08-22 00:00:00+00:00,12034.522616981654
2026-08-23 00:00:00+00:00,10908.068898946638
2026-08-24 00:00:00+00:00,10854.29468941534
2026-08-25 00:00:00+00:00,9452.33512423469
2026-08-26 00:00:00+00:00,9036.058126988826
2026-08-27 00:00:00+00:00,7895.8982489867
2026-08-28 00:00:00+00:00,7537.367848137356
2026-08-29 00:00:00+00:00,6359.669405973924
2026-08-30 00:00:00+00:00,5698.5621792467045
2026-08-31 00:00:00+00:00,5242.5025357949735
2026-09-01 00:00:00+00:00,4836.066283896232
2026-09-02 00:00:00+00:00,4424.901382083808
2026-09-03 00:00:00+00:00,4064.7416360177476
2026-09-04 00:00:00+00:00,3580.1446712074194
2026-09-05 00:00:00+00:00,3074.8649294022475
2026-09-06 00:00:00+00:00,2582.075888541084
2026-09-07 00:00:00+00:00,2436.909473302295
2026-09-08 00:00:00+00:00,2234.8247236722627
2026-09-09 00:00:00+00:00,2060.0530032660577
2026-09-10 00:00:00+00:00,1931.5331799473906
2026-09-11 00:00:00+00:00,1826.4827359439785
2026-09-12 00:00:00+00:00,1573.2418799233815
2026-09-13 00:00:00+00:00,1349.8722006228716
2026-09-14 00:00:00+00:00,1246.1122628212693
2026-09-15 00:00:00+00:00,1244.6537142490865
2026-09-16 00:00:00+00:00,1183.7584307353097
