ts,equity
2026-07-18 00:00:00+00:00,1000000.0
2026-07-19 00:00:00+00:00,1000000.0
2026-07-20 00:00:00+00:00,733686.2727887863
2026-07-21 00:00:00+00:00,752475.1685034349
2026-07-22 00:00:00+00:00,752475.1685034349
2026-07-23 00:00:00+00:00,849660.4972192786
2026-07-24 00:00:00+00:00,761077.3892468386
2026-07-25 00:00:00+00:00,731198.4471041034
2026-07-26 00:00:00+00:00,1096296.340882055
2026-07-27 00:00:00+00:00,1017332.6675380406
2026-07-28 00:00:00+00:00,981627.462432076
2026-07-29 00:00:00+00:00,981627.462432076
2026-07-30 00:00:00+00:00,981627.462432076
2026-07-31 00:00:00+00:00,1111748.5046715033
2026-08-01 00:00:00+00:00,1002182.7979386011
2026-08-02 00:00:00+00:00,855357.7100142093
2026-08-03 00:00:00+00:00,744803.8348466117
2026-08-04 00:00:00+00:00,744803.8348466117
2026-08-05 00:00:00+00:00,788694.4483075226
2026-08-06 00:00:00+00:00,732810.7513920646
2026-08-07 00:00:00+00:00,657707.1317324617
2026-08-08 00:00:00+00:00,657707.1317324617
2026-08-09 00:00:00+00:00,657707.1317324617
2026-08-10 00:00:00+00:00,735866.0701042743
2026-08-11 00:00:00+00:00,625255.5513357604
2026-08-12 00:00:00+00:00,595463.4855574307
2026-08-13 00:00:00+00:00,595463.4855574307
2026-08-14 00:00:00+00:00,595463.4855574307
2026-08-15 00:00:00+00:00,595463.4855574307
2026-08-16 00:00:00+00:00,565438.1797155666
2026-08-17 00:00:00+00:00,528025.0074398312
2026-08-18 00:00:00+00:00,473543.8212818209
2026-08-19 00:00:00+00:00,1331138.9872316434
2026-08-20 00:00:00+00:00,1070233.9874972228
2026-08-21 00:00:00+00:00,1189205.6412172671
2026-08-22 00:00:00+00:00,865907.4046033059
2026-08-23 00:00:00+00:00,610896.4145282144
2026-08-24 00:00:00+00:00,561494.947982748
2026-08-25 00:00:00+00:00,487338.7832390458
2026-08-26 00:00:00+00:00,503139.5671584946
2026-08-27 00:00:00+00:00,488737.22585190536
2026-08-28 00:00:00+00:00,482066.37138367083
2026-08-29 00:00:00+00:00,468415.37256134726
2026-08-30 00:00:00+00:00,542515.2767015419
2026-08-31 00:00:00+00:00,486204.6527317855
2026-09-01 00:00:00+00:00,469853.7299675792
2026-09-02 00:00:00+00:00,512028.1930023359
2026-09-03 00:00:00+00:00,702495.0136792394
2026-09-04 00:00:00+00:00,622191.3158751526
2026-09-05 00:00:00+00:00,640452.3783455126
2026-09-06 00:00:00+00:00,675027.3762238864
2026-09-07 00:00:00+00:00,675027.3762238864
2026-09-08 00:00:00+00:00,601971.9475417305
2026-09-09 00:00:00+00:00,504481.04522374336
2026-09-10 00:00:00+00:00,524210.9057536016
2026-09-11 00:00:00+00:00,708879.6646178756
2026-09-12 00:00:00+00:00,708879.6646178756
2026-09-13 00:00:00+00:00,681342.171017701
2026-09-14 00:00:00+00:00,569806.8913134725
2026-09-15 00:00:00+00:00,681466.02947094
2026-09-16 00:00:00+00:00,694036.2836778017
