symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,PnL,exit_reason,bars_held
ETH-USDT-SWAP,B,2026-07-18 09:10:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.42,2029.9720000000002,0.1,-10100.0,liquidation,46454
ETH-USDT-SWAP,B,2026-07-18 09:11:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1846.0,2030.6100000000001,0.1,-10099.172092477595,liquidation,46453
ETH-USDT-SWAP,B,2026-07-18 09:12:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.81,2030.401,0.1,-10098.869596175366,liquidation,46452
ETH-USDT-SWAP,B,2026-07-18 09:13:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.1,2029.6200000000001,0.1,-10099.52465282356,liquidation,46451
ETH-USDT-SWAP,B,2026-07-18 09:14:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.23,2029.7630000000001,0.1,-10098.751537409113,liquidation,46450
ETH-USDT-SWAP,B,2026-07-18 09:15:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.29,2029.8290000000002,0.1,-10098.027706344832,liquidation,46449
ETH-USDT-SWAP,B,2026-07-18 09:16:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.99,2029.4990000000003,0.1,-10098.496880654098,liquidation,46448
ETH-USDT-SWAP,B,2026-07-18 09:17:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.77,2029.257,0.1,-10098.86208093908,liquidation,46447
ETH-USDT-SWAP,B,2026-07-18 09:18:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.21,2027.5410000000002,0.1,-10105.225406374644,liquidation,46446
ETH-USDT-SWAP,B,2026-07-18 09:19:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.19,2027.5190000000002,0.1,-10104.769409311895,liquidation,46445
ETH-USDT-SWAP,B,2026-07-18 09:20:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.13,2027.4530000000002,0.1,-10104.587167176895,liquidation,46444
ETH-USDT-SWAP,B,2026-07-18 09:21:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1842.19,2026.4190000000003,0.1,-10109.737955499311,liquidation,46443
ETH-USDT-SWAP,B,2026-07-18 09:22:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1842.5,2026.7600000000002,0.1,-10107.124049056352,liquidation,46442
ETH-USDT-SWAP,B,2026-07-18 09:23:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1842.38,2026.6280000000004,0.1,-10107.462147714301,liquidation,46441
ETH-USDT-SWAP,B,2026-07-18 09:24:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1842.92,2027.2220000000002,0.1,-10102.881325017568,liquidation,46440
ETH-USDT-SWAP,B,2026-07-18 09:25:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.22,2027.5520000000001,0.1,-10099.905591463772,liquidation,46439
ETH-USDT-SWAP,B,2026-07-18 09:26:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.23,2027.563,0.1,-10099.39511669418,liquidation,46438
ETH-USDT-SWAP,B,2026-07-18 09:27:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.17,2027.4970000000003,0.1,-10099.355791553638,liquidation,46437
ETH-USDT-SWAP,B,2026-07-18 09:28:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.45,2027.8050000000003,0.1,-10095.985704784229,liquidation,46436
ETH-USDT-SWAP,B,2026-07-18 09:29:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.5,2027.8600000000001,0.1,-10095.157697308812,liquidation,46435
ETH-USDT-SWAP,B,2026-07-18 09:30:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1842.67,2026.9470000000003,0.1,-10103.636943530932,liquidation,46434
ETH-USDT-SWAP,B,2026-07-18 09:31:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.48,2027.8380000000002,0.1,-10093.807700260943,liquidation,46433
ETH-USDT-SWAP,B,2026-07-18 09:32:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.67,2028.0470000000003,0.1,-10091.007662340331,liquidation,46432
ETH-USDT-SWAP,B,2026-07-18 09:33:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.5,2027.8600000000001,0.1,-10092.765511046438,liquidation,46431
ETH-USDT-SWAP,B,2026-07-18 09:34:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.51,2027.871,0.1,-10092.12940507425,liquidation,46430
ETH-USDT-SWAP,B,2026-07-18 09:35:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.68,2028.0580000000002,0.1,-10089.1598406863,liquidation,46429
ETH-USDT-SWAP,B,2026-07-18 09:36:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.99,2028.3990000000001,0.1,-10084.235063969003,liquidation,46428
ETH-USDT-SWAP,B,2026-07-18 09:37:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.86,2028.256,0.1,-10085.499980769195,liquidation,46427
ETH-USDT-SWAP,B,2026-07-18 09:38:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.86,2028.256,0.1,-10084.984766219453,liquidation,46426
ETH-USDT-SWAP,B,2026-07-18 09:39:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.95,2028.3550000000002,0.1,-10083.198998980917,liquidation,46425
ETH-USDT-SWAP,B,2026-07-18 09:40:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.27,2028.707,0.1,-10077.596361036678,liquidation,46424
ETH-USDT-SWAP,B,2026-07-18 09:41:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.16,2028.5860000000002,0.1,-10078.620275412568,liquidation,46423
ETH-USDT-SWAP,B,2026-07-18 09:42:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.3700000000001,2028.8170000000002,0.1,-10074.601012779674,liquidation,46422
ETH-USDT-SWAP,B,2026-07-18 09:43:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.0,2028.41,0.1,-10080.957752297574,liquidation,46421
ETH-USDT-SWAP,B,2026-07-18 09:44:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.27,2028.707,0.1,-10075.055374250856,liquidation,46420
ETH-USDT-SWAP,B,2026-07-18 09:45:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.45,2028.9050000000002,0.1,-10071.4749002992,liquidation,46419
ETH-USDT-SWAP,B,2026-07-18 09:46:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.6,2029.0700000000002,0.1,-10067.8181644154,liquidation,46418
ETH-USDT-SWAP,B,2026-07-18 09:47:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.6,2029.0700000000002,0.1,-10067.30931551186,liquidation,46417
ETH-USDT-SWAP,B,2026-07-18 09:48:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.22,2028.6520000000003,0.1,-10074.70404956782,liquidation,46416
ETH-USDT-SWAP,B,2026-07-18 09:49:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.11,2028.531,0.1,-10076.542814735314,liquidation,46415
ETH-USDT-SWAP,B,2026-07-18 09:50:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.11,2028.531,0.1,-10076.033523417922,liquidation,46414
ETH-USDT-SWAP,B,2026-07-18 09:51:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.1200000000001,2028.5420000000004,0.1,-10075.524257841265,liquidation,46413
ETH-USDT-SWAP,B,2026-07-18 09:52:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.33,2028.7730000000001,0.1,-10069.96393840052,liquidation,46412
ETH-USDT-SWAP,B,2026-07-18 09:53:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.21,2028.6410000000003,0.1,-10072.278614227142,liquidation,46411
ETH-USDT-SWAP,B,2026-07-18 09:54:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.38,2028.8280000000002,0.1,-10067.676543929363,liquidation,46410
ETH-USDT-SWAP,B,2026-07-18 09:55:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.59,2029.059,0.1,-10062.24324214248,liquidation,46409
ETH-USDT-SWAP,B,2026-07-18 09:56:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.58,2029.048,0.1,-10061.740129980373,liquidation,46408
ETH-USDT-SWAP,B,2026-07-18 09:57:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.59,2029.059,0.1,-10061.231588214456,liquidation,46407
ETH-USDT-SWAP,B,2026-07-18 09:58:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.58,2029.048,0.1,-10060.728526635045,liquidation,46406
ETH-USDT-SWAP,B,2026-07-18 09:59:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.33,2028.7730000000001,0.1,-10066.921070914652,liquidation,46405
ETH-USDT-SWAP,B,2026-07-18 10:00:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.11,2028.531,0.1,-10072.702759759228,liquidation,46404
ETH-USDT-SWAP,B,2026-07-18 10:01:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.92,2028.3220000000003,0.1,-10076.941475203095,liquidation,46403
ETH-USDT-SWAP,B,2026-07-18 10:02:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.92,2028.3220000000003,0.1,-10076.711124972373,liquidation,46402
ETH-USDT-SWAP,B,2026-07-18 10:03:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.92,2028.3220000000003,0.1,-10076.20182458515,liquidation,46401
ETH-USDT-SWAP,B,2026-07-18 10:04:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.17,2028.5970000000002,0.1,-10068.308646424997,liquidation,46400
ETH-USDT-SWAP,B,2026-07-18 10:05:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.16,2028.5860000000002,0.1,-10068.100587133244,liquidation,46399
ETH-USDT-SWAP,B,2026-07-18 10:06:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.46,2028.9160000000002,0.1,-10058.403468898241,liquidation,46398
ETH-USDT-SWAP,B,2026-07-18 10:07:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.47,2028.9270000000001,0.1,-10057.89509541951,liquidation,46397
ETH-USDT-SWAP,B,2026-07-18 10:08:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.58,2029.048,0.1,-10053.586023498106,liquidation,46396
ETH-USDT-SWAP,B,2026-07-18 10:09:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.67,2029.1470000000002,0.1,-10049.851576164121,liquidation,46395
ETH-USDT-SWAP,B,2026-07-18 10:10:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.59,2029.059,0.1,-10052.61898566706,liquidation,46394
ETH-USDT-SWAP,B,2026-07-18 10:11:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.71,2029.1910000000003,0.1,-10047.780469879975,liquidation,46393
ETH-USDT-SWAP,B,2026-07-18 10:12:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.58,2029.048,0.1,-10051.679327385627,liquidation,46392
ETH-USDT-SWAP,B,2026-07-18 10:13:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.82,2028.212,0.1,-10077.003222790698,liquidation,46391
ETH-USDT-SWAP,B,2026-07-18 10:14:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.53,2027.893,0.1,-10087.335063103443,liquidation,46390
ETH-USDT-SWAP,B,2026-07-18 10:15:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.68,2028.0580000000002,0.1,-10081.144892328688,liquidation,46389
ETH-USDT-SWAP,B,2026-07-18 10:16:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.82,2028.212,0.1,-10075.222906658639,liquidation,46388
ETH-USDT-SWAP,B,2026-07-18 10:17:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.83,2028.2230000000002,0.1,-10074.708216872867,liquidation,46387
ETH-USDT-SWAP,B,2026-07-18 10:18:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.82,2028.212,0.1,-10074.942535511002,liquidation,46386
ETH-USDT-SWAP,B,2026-07-18 10:19:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.82,2028.212,0.1,-10074.061565185855,liquidation,46385
ETH-USDT-SWAP,B,2026-07-18 10:20:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.86,2028.256,0.1,-10071.638963973566,liquidation,46384
ETH-USDT-SWAP,B,2026-07-18 10:21:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.43,2027.7830000000001,0.1,-10088.203019963958,liquidation,46383
ETH-USDT-SWAP,B,2026-07-18 10:22:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.59,2027.959,0.1,-10081.788812331819,liquidation,46382
ETH-USDT-SWAP,B,2026-07-18 10:23:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1843.98,2028.3880000000001,0.1,-10065.32111378533,liquidation,46381
ETH-USDT-SWAP,B,2026-07-18 10:24:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.47,2028.9270000000001,0.1,-10044.989502760318,liquidation,46380
ETH-USDT-SWAP,B,2026-07-18 10:25:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.47,2028.9270000000001,0.1,-10044.481807281989,liquidation,46379
ETH-USDT-SWAP,B,2026-07-18 10:26:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.72,2029.2020000000002,0.1,-10033.58812658705,liquidation,46378
ETH-USDT-SWAP,B,2026-07-18 10:27:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.98,2029.4880000000003,0.1,-10021.717261065409,liquidation,46377
ETH-USDT-SWAP,B,2026-07-18 10:28:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.9,2029.4000000000003,0.1,-10025.042114066953,liquidation,46376
ETH-USDT-SWAP,B,2026-07-18 10:29:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1844.75,2029.2350000000001,0.1,-10031.011607919016,liquidation,46375
ETH-USDT-SWAP,B,2026-07-18 10:30:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.46,2030.0160000000003,0.1,-9999.464632081328,liquidation,46374
ETH-USDT-SWAP,B,2026-07-18 10:31:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.76,2030.3460000000002,0.1,-9986.123801638858,liquidation,46373
ETH-USDT-SWAP,B,2026-07-18 10:32:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.45,2030.005,0.1,-9999.064844722116,liquidation,46372
ETH-USDT-SWAP,B,2026-07-18 10:33:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.1200000000001,2029.6420000000003,0.1,-10013.52265890689,liquidation,46371
ETH-USDT-SWAP,B,2026-07-18 10:34:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.32,2029.862,0.1,-10003.839417766472,liquidation,46370
ETH-USDT-SWAP,B,2026-07-18 10:35:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.41,2029.9610000000002,0.1,-9999.15530175672,liquidation,46369
ETH-USDT-SWAP,B,2026-07-18 10:36:00+00:00,2026-08-19 15:24:00+00:00,-1.0,1845.4,2029.9500000000003,0.1,-9998.64992559935,liquidation,46368
