ts,equity
2026-07-18 00:00:00+00:00,1000000.0
2026-07-19 00:00:00+00:00,1000000.0
2026-07-20 00:00:00+00:00,992795.1277370639
2026-07-21 00:00:00+00:00,994476.1039640715
2026-07-22 00:00:00+00:00,994476.1039640715
2026-07-23 00:00:00+00:00,994476.1039640715
2026-07-24 00:00:00+00:00,994476.1039640715
2026-07-25 00:00:00+00:00,995422.9444312482
2026-07-26 00:00:00+00:00,1144062.1759578655
2026-07-27 00:00:00+00:00,1116459.1851512373
2026-07-28 00:00:00+00:00,1116459.1851512373
2026-07-29 00:00:00+00:00,1116459.1851512373
2026-07-30 00:00:00+00:00,1116459.1851512373
2026-07-31 00:00:00+00:00,1116459.1851512373
2026-08-01 00:00:00+00:00,1116459.1851512373
2026-08-02 00:00:00+00:00,1084578.845703129
2026-08-03 00:00:00+00:00,1067736.2074056065
2026-08-04 00:00:00+00:00,1067736.2074056065
2026-08-05 00:00:00+00:00,1071957.3941614442
2026-08-06 00:00:00+00:00,1067236.1636992162
2026-08-07 00:00:00+00:00,1058968.253416189
2026-08-08 00:00:00+00:00,1058968.253416189
2026-08-09 00:00:00+00:00,1058968.253416189
2026-08-10 00:00:00+00:00,1058968.253416189
2026-08-11 00:00:00+00:00,1058968.253416189
2026-08-12 00:00:00+00:00,1049446.0077241773
2026-08-13 00:00:00+00:00,1049446.0077241773
2026-08-14 00:00:00+00:00,1049446.0077241773
2026-08-15 00:00:00+00:00,1049446.0077241773
2026-08-16 00:00:00+00:00,1039696.4306066021
2026-08-17 00:00:00+00:00,1032974.9130346181
2026-08-18 00:00:00+00:00,1010757.7737279357
2026-08-19 00:00:00+00:00,1230069.3573163913
2026-08-20 00:00:00+00:00,1212912.3382375108
2026-08-21 00:00:00+00:00,1225586.1139711959
2026-08-22 00:00:00+00:00,1200215.4677359045
2026-08-23 00:00:00+00:00,1191331.5666526745
2026-08-24 00:00:00+00:00,1185759.8103198295
2026-08-25 00:00:00+00:00,1173920.2438335477
2026-08-26 00:00:00+00:00,1179195.043301816
2026-08-27 00:00:00+00:00,1176984.9057929309
2026-08-28 00:00:00+00:00,1176984.9057929309
2026-08-29 00:00:00+00:00,1176984.9057929309
2026-08-30 00:00:00+00:00,1196160.7950802587
2026-08-31 00:00:00+00:00,1196160.7950802587
2026-09-01 00:00:00+00:00,1196160.7950802587
2026-09-02 00:00:00+00:00,1196160.7950802587
2026-09-03 00:00:00+00:00,1251548.2503185694
2026-09-04 00:00:00+00:00,1235882.5952907347
2026-09-05 00:00:00+00:00,1240947.1132192586
2026-09-06 00:00:00+00:00,1250010.7151292467
2026-09-07 00:00:00+00:00,1250010.7151292467
2026-09-08 00:00:00+00:00,1250010.7151292467
2026-09-09 00:00:00+00:00,1223008.1965322443
2026-09-10 00:00:00+00:00,1223008.1965322443
2026-09-11 00:00:00+00:00,1243552.645064764
2026-09-12 00:00:00+00:00,1243552.645064764
2026-09-13 00:00:00+00:00,1243552.645064764
2026-09-14 00:00:00+00:00,1234284.7745583563
2026-09-15 00:00:00+00:00,1234284.7745583563
2026-09-16 00:00:00+00:00,1234284.7745583563
