ts,equity
2026-07-18 00:00:00+00:00,899764.1846689943
2026-07-19 00:00:00+00:00,848125.3959448794
2026-07-20 00:00:00+00:00,672715.7303732485
2026-07-21 00:00:00+00:00,535048.3417957384
2026-07-22 00:00:00+00:00,511959.5849526143
2026-07-23 00:00:00+00:00,814925.1694772318
2026-07-24 00:00:00+00:00,905225.4597067789
2026-07-25 00:00:00+00:00,834661.4604555367
2026-07-26 00:00:00+00:00,402355.57998534397
2026-07-27 00:00:00+00:00,738683.6070678434
2026-07-28 00:00:00+00:00,578630.3980382168
2026-07-29 00:00:00+00:00,640164.3682665253
2026-07-30 00:00:00+00:00,598204.4729263192
2026-07-31 00:00:00+00:00,900142.6888794904
2026-08-01 00:00:00+00:00,995471.6779062669
2026-08-02 00:00:00+00:00,778642.8372952255
2026-08-03 00:00:00+00:00,910524.518654434
2026-08-04 00:00:00+00:00,861913.7636146941
2026-08-05 00:00:00+00:00,649789.189620388
2026-08-06 00:00:00+00:00,674878.6115763867
2026-08-07 00:00:00+00:00,622861.318641748
2026-08-08 00:00:00+00:00,604909.4046560066
2026-08-09 00:00:00+00:00,638866.639544719
2026-08-10 00:00:00+00:00,842826.3369973142
2026-08-11 00:00:00+00:00,791944.5566943245
2026-08-12 00:00:00+00:00,806598.0768453515
2026-08-13 00:00:00+00:00,772046.049625768
2026-08-14 00:00:00+00:00,794323.7260177429
2026-08-15 00:00:00+00:00,790430.5398521528
2026-08-16 00:00:00+00:00,826442.5118838105
2026-08-17 00:00:00+00:00,623726.4711229935
2026-08-18 00:00:00+00:00,601394.7227009552
2026-08-19 00:00:00+00:00,0.0
2026-08-20 00:00:00+00:00,0.0
2026-08-21 00:00:00+00:00,0.0
2026-08-22 00:00:00+00:00,0.0
2026-08-23 00:00:00+00:00,0.0
2026-08-24 00:00:00+00:00,0.0
2026-08-25 00:00:00+00:00,0.0
2026-08-26 00:00:00+00:00,0.0
2026-08-27 00:00:00+00:00,0.0
2026-08-28 00:00:00+00:00,0.0
2026-08-29 00:00:00+00:00,0.0
2026-08-30 00:00:00+00:00,0.0
2026-08-31 00:00:00+00:00,0.0
2026-09-01 00:00:00+00:00,0.0
2026-09-02 00:00:00+00:00,0.0
2026-09-03 00:00:00+00:00,0.0
2026-09-04 00:00:00+00:00,0.0
2026-09-05 00:00:00+00:00,0.0
2026-09-06 00:00:00+00:00,0.0
2026-09-07 00:00:00+00:00,0.0
2026-09-08 00:00:00+00:00,0.0
2026-09-09 00:00:00+00:00,0.0
2026-09-10 00:00:00+00:00,0.0
2026-09-11 00:00:00+00:00,0.0
2026-09-12 00:00:00+00:00,0.0
2026-09-13 00:00:00+00:00,0.0
2026-09-14 00:00:00+00:00,0.0
2026-09-15 00:00:00+00:00,0.0
2026-09-16 00:00:00+00:00,0.0
