ts,equity
2026-07-18 00:00:00+00:00,1000000.0
2026-07-19 00:00:00+00:00,1000000.0
2026-07-20 00:00:00+00:00,986913.4615342548
2026-07-21 00:00:00+00:00,987755.6855427788
2026-07-22 00:00:00+00:00,987755.6855427788
2026-07-23 00:00:00+00:00,996646.3447491671
2026-07-24 00:00:00+00:00,991133.631988779
2026-07-25 00:00:00+00:00,990656.5777882994
2026-07-26 00:00:00+00:00,1062476.372282478
2026-07-27 00:00:00+00:00,1049608.2741542212
2026-07-28 00:00:00+00:00,1049307.7258658307
2026-07-29 00:00:00+00:00,1049307.7258658307
2026-07-30 00:00:00+00:00,1049307.7258658307
2026-07-31 00:00:00+00:00,1060499.4316308617
2026-08-01 00:00:00+00:00,1053938.8015900063
2026-08-02 00:00:00+00:00,1037744.4310590982
2026-08-03 00:00:00+00:00,1025579.3789031485
2026-08-04 00:00:00+00:00,1025579.3789031485
2026-08-05 00:00:00+00:00,1027611.7172398487
2026-08-06 00:00:00+00:00,1025348.1954690536
2026-08-07 00:00:00+00:00,1021372.5086666058
2026-08-08 00:00:00+00:00,1021372.5086666058
2026-08-09 00:00:00+00:00,1021372.5086666058
2026-08-10 00:00:00+00:00,1025321.0899970629
2026-08-11 00:00:00+00:00,1019456.1598312352
2026-08-12 00:00:00+00:00,1014926.1584476724
2026-08-13 00:00:00+00:00,1014926.1584476724
2026-08-14 00:00:00+00:00,1014926.1584476724
2026-08-15 00:00:00+00:00,1014926.1584476724
2026-08-16 00:00:00+00:00,1009424.1354348625
2026-08-17 00:00:00+00:00,1005278.5635708328
2026-08-18 00:00:00+00:00,994417.630974446
2026-08-19 00:00:00+00:00,1097871.1326169283
2026-08-20 00:00:00+00:00,1090215.5417921261
2026-08-21 00:00:00+00:00,1095970.8235534371
2026-08-22 00:00:00+00:00,1084616.6325722106
2026-08-23 00:00:00+00:00,1073860.986987702
2026-08-24 00:00:00+00:00,1071410.29136746
2026-08-25 00:00:00+00:00,1066100.6024450876
2026-08-26 00:00:00+00:00,1068506.5315023
2026-08-27 00:00:00+00:00,1067580.4488099155
2026-08-28 00:00:00+00:00,1067404.5771875912
2026-08-29 00:00:00+00:00,1066885.747727007
2026-08-30 00:00:00+00:00,1075562.3560065837
2026-08-31 00:00:00+00:00,1073110.8099699027
2026-09-01 00:00:00+00:00,1072366.698758872
2026-09-02 00:00:00+00:00,1074965.424718823
2026-09-03 00:00:00+00:00,1099681.6886138024
2026-09-04 00:00:00+00:00,1092928.6102198914
2026-09-05 00:00:00+00:00,1095181.6195193669
2026-09-06 00:00:00+00:00,1099196.6104916753
2026-09-07 00:00:00+00:00,1099196.6104916753
2026-09-08 00:00:00+00:00,1095718.729273128
2026-09-09 00:00:00+00:00,1082524.8495845299
2026-09-10 00:00:00+00:00,1086973.9760725088
2026-09-11 00:00:00+00:00,1096091.2329108585
2026-09-12 00:00:00+00:00,1096091.2329108585
2026-09-13 00:00:00+00:00,1094106.0850548497
2026-09-14 00:00:00+00:00,1090023.9038185992
2026-09-15 00:00:00+00:00,1094826.2247356111
2026-09-16 00:00:00+00:00,1095383.5385693868
