Datetime,equity
2024-04-23 00:00:00+00:00,1000000.0
2024-04-24 00:00:00+00:00,1000000.0
2024-04-25 00:00:00+00:00,1000000.0
2024-04-26 00:00:00+00:00,1000000.0
2024-04-28 00:00:00+00:00,1000000.0
2024-04-29 00:00:00+00:00,1000000.0
2024-04-30 00:00:00+00:00,1011627.0758987962
2024-05-01 00:00:00+00:00,1012937.6167103946
2024-05-02 00:00:00+00:00,1009280.178318503
2024-05-03 00:00:00+00:00,1011385.6029119418
2024-05-05 00:00:00+00:00,1011385.6029119418
2024-05-06 00:00:00+00:00,1011385.6029119418
2024-05-07 00:00:00+00:00,1011385.6029119418
2024-05-08 00:00:00+00:00,1011385.6029119418
2024-05-09 00:00:00+00:00,1016749.9373758599
2024-05-10 00:00:00+00:00,1022430.2166799717
2024-05-12 00:00:00+00:00,1022304.1039865854
2024-05-13 00:00:00+00:00,1009244.7421199922
2024-05-14 00:00:00+00:00,1009105.918822434
2024-05-15 00:00:00+00:00,1011936.6809615777
2024-05-16 00:00:00+00:00,1006259.5467260482
2024-05-17 00:00:00+00:00,1009797.215879901
2024-05-19 00:00:00+00:00,1014273.7689538981
2024-05-20 00:00:00+00:00,1017625.7221273886
2024-05-21 00:00:00+00:00,1017625.7221273886
2024-05-22 00:00:00+00:00,1009294.9658632936
2024-05-23 00:00:00+00:00,1046100.9078975524
2024-05-24 00:00:00+00:00,1046338.3079279112
2024-05-26 00:00:00+00:00,1046338.3079279112
2024-05-27 00:00:00+00:00,1046338.3079279112
2024-05-28 00:00:00+00:00,1046338.3079279112
2024-05-29 00:00:00+00:00,1046334.5422150452
2024-05-30 00:00:00+00:00,1046092.537468062
2024-05-31 00:00:00+00:00,1040750.9207008079
2024-06-02 00:00:00+00:00,1040750.9207008079
2024-06-03 00:00:00+00:00,1040750.9207008079
2024-06-04 00:00:00+00:00,1033640.5314489964
2024-06-05 00:00:00+00:00,1038911.4913999017
2024-06-06 00:00:00+00:00,1029891.6883024934
2024-06-07 00:00:00+00:00,1030283.0627599984
2024-06-09 00:00:00+00:00,1032773.8793936794
2024-06-10 00:00:00+00:00,1031067.3896398337
2024-06-11 00:00:00+00:00,1025434.2826034705
2024-06-12 00:00:00+00:00,1025434.2826034705
2024-06-13 00:00:00+00:00,1016182.5410837547
2024-06-14 00:00:00+00:00,1014404.7460940186
2024-06-16 00:00:00+00:00,1012820.8381079537
2024-06-17 00:00:00+00:00,1009797.2007304864
2024-06-18 00:00:00+00:00,1009228.9371665537
2024-06-19 00:00:00+00:00,1009228.9371665537
2024-06-20 00:00:00+00:00,1013752.7089824653
2024-06-21 00:00:00+00:00,1012021.3309936872
2024-06-23 00:00:00+00:00,1013421.762471194
2024-06-24 00:00:00+00:00,1008098.4283541586
2024-06-25 00:00:00+00:00,1008098.4283541586
2024-06-26 00:00:00+00:00,1014575.1205255941
2024-06-27 00:00:00+00:00,1013260.4421379399
2024-06-28 00:00:00+00:00,1011527.7149933564
2024-06-30 00:00:00+00:00,1011527.7149933564
2024-07-01 00:00:00+00:00,1011527.7149933564
2024-07-02 00:00:00+00:00,1011527.7149933564
2024-07-03 00:00:00+00:00,1011527.7149933564
2024-07-05 00:00:00+00:00,1026130.0640297574
2024-07-07 00:00:00+00:00,1021790.79294003
2024-07-08 00:00:00+00:00,1012149.8094036754
2024-07-09 00:00:00+00:00,1012149.8094036754
2024-07-10 00:00:00+00:00,1006631.9781057559
2024-07-11 00:00:00+00:00,1006631.9781057559
2024-07-12 00:00:00+00:00,1006631.9781057559
2024-07-14 00:00:00+00:00,1006631.9781057559
2024-07-15 00:00:00+00:00,1006631.9781057559
2024-07-16 00:00:00+00:00,1008207.0825908586
2024-07-17 00:00:00+00:00,1005146.9988447876
2024-07-18 00:00:00+00:00,1005742.1706805478
2024-07-19 00:00:00+00:00,1023173.5123110145
2024-07-21 00:00:00+00:00,1018509.9654411435
2024-07-22 00:00:00+00:00,1025621.829951501
2024-07-23 00:00:00+00:00,1023842.5596669386
2024-07-24 00:00:00+00:00,1020361.4543931911
2024-07-25 00:00:00+00:00,1016344.7732400041
2024-07-26 00:00:00+00:00,1014924.4537535666
2024-07-28 00:00:00+00:00,1018658.870270685
2024-07-29 00:00:00+00:00,1014026.7143199433
2024-07-30 00:00:00+00:00,1016042.7236081607
2024-07-31 00:00:00+00:00,1020673.5206609057
2024-08-01 00:00:00+00:00,1019481.9597936238
2024-08-02 00:00:00+00:00,1019481.9597936238
2024-08-04 00:00:00+00:00,1019481.9597936238
2024-08-05 00:00:00+00:00,1019833.6031949068
2024-08-06 00:00:00+00:00,1019833.6031949068
2024-08-07 00:00:00+00:00,1019833.6031949068
2024-08-08 00:00:00+00:00,1024285.3271283355
2024-08-09 00:00:00+00:00,1026910.5310952693
2024-08-11 00:00:00+00:00,1025444.3712810352
