Datetime,equity
2023-10-17 00:00:00+00:00,1000000.0
2023-10-18 00:00:00+00:00,1000000.0
2023-10-19 00:00:00+00:00,1000000.0
2023-10-20 00:00:00+00:00,1000000.0
2023-10-23 00:00:00+00:00,1000000.0
2023-10-24 00:00:00+00:00,1000000.0
2023-10-25 00:00:00+00:00,1000416.2234821966
2023-10-26 00:00:00+00:00,1004419.0916731132
2023-10-27 00:00:00+00:00,1003527.9548845896
2023-10-30 00:00:00+00:00,1003527.9548845896
2023-10-31 00:00:00+00:00,1003527.9548845896
2023-11-01 00:00:00+00:00,1005086.3222643553
2023-11-02 00:00:00+00:00,1008811.2506671807
2023-11-03 00:00:00+00:00,1011284.9324749177
2023-11-06 00:00:00+00:00,1011012.7128942177
2023-11-07 00:00:00+00:00,1011732.3806062455
2023-11-08 00:00:00+00:00,1011983.6145833551
2023-11-09 00:00:00+00:00,1009961.8980271001
2023-11-10 00:00:00+00:00,1012166.395342656
2023-11-13 00:00:00+00:00,1011308.8213279968
2023-11-14 00:00:00+00:00,1017467.3569321138
2023-11-15 00:00:00+00:00,1017778.774232783
2023-11-16 00:00:00+00:00,1017778.774232783
2023-11-17 00:00:00+00:00,1017778.774232783
2023-11-20 00:00:00+00:00,1019417.5701575143
2023-11-21 00:00:00+00:00,1016562.8676592604
2023-11-22 00:00:00+00:00,1016562.8676592604
2023-11-24 00:00:00+00:00,1016562.8676592604
2023-11-27 00:00:00+00:00,1016562.8676592604
2023-11-28 00:00:00+00:00,1016562.8676592604
2023-11-29 00:00:00+00:00,1016562.8676592604
2023-11-30 00:00:00+00:00,1014643.4261581643
2023-12-01 00:00:00+00:00,1015963.9808637515
2023-12-04 00:00:00+00:00,1015246.9020672775
2023-12-05 00:00:00+00:00,1015419.2793989409
2023-12-06 00:00:00+00:00,1015419.2793989409
2023-12-07 00:00:00+00:00,1015170.8840207909
2023-12-08 00:00:00+00:00,1016333.4889621007
2023-12-11 00:00:00+00:00,1018805.3996396337
2023-12-12 00:00:00+00:00,1020972.1120169474
2023-12-13 00:00:00+00:00,1022712.8034782995
2023-12-14 00:00:00+00:00,1022131.5120285522
2023-12-15 00:00:00+00:00,1022131.5120285522
2023-12-18 00:00:00+00:00,1022256.3238846753
2023-12-19 00:00:00+00:00,1023853.189114389
2023-12-20 00:00:00+00:00,1022298.1393273779
2023-12-21 00:00:00+00:00,1021577.173116556
2023-12-22 00:00:00+00:00,1022430.6782877644
2023-12-26 00:00:00+00:00,1022034.9432871927
2023-12-27 00:00:00+00:00,1022522.5447955627
2023-12-28 00:00:00+00:00,1022300.8584929385
