Datetime,equity
2024-09-17 00:00:00+00:00,1000000.0
2024-09-18 00:00:00+00:00,1000000.0
2024-09-19 00:00:00+00:00,1002974.037514623
2024-09-20 00:00:00+00:00,1002974.037514623
2024-09-21 00:00:00+00:00,1002974.037514623
2024-09-22 00:00:00+00:00,1002861.7790230452
2024-09-23 00:00:00+00:00,1001389.3917553312
2024-09-24 00:00:00+00:00,1001253.6976979877
2024-09-25 00:00:00+00:00,998922.0924340135
2024-09-26 00:00:00+00:00,998828.9885020421
2024-09-27 00:00:00+00:00,999864.6167781323
2024-09-28 00:00:00+00:00,999864.6167781323
2024-09-29 00:00:00+00:00,999864.6167781323
2024-09-30 00:00:00+00:00,1002841.9017002262
2024-10-01 00:00:00+00:00,1002517.3860897651
2024-10-02 00:00:00+00:00,1002125.2233247149
2024-10-03 00:00:00+00:00,1002125.2233247149
2024-10-04 00:00:00+00:00,1000484.6768888126
2024-10-05 00:00:00+00:00,1000120.4312240887
2024-10-06 00:00:00+00:00,999150.5930748887
2024-10-07 00:00:00+00:00,997314.4924341944
2024-10-08 00:00:00+00:00,997314.4924341944
2024-10-09 00:00:00+00:00,999172.0442567511
2024-10-10 00:00:00+00:00,997865.1996382525
2024-10-11 00:00:00+00:00,1000822.1100932222
2024-10-12 00:00:00+00:00,1000822.1100932222
2024-10-13 00:00:00+00:00,1002919.9255327845
2024-10-14 00:00:00+00:00,1005434.683737579
2024-10-15 00:00:00+00:00,1003479.6034429433
2024-10-16 00:00:00+00:00,1002839.1700048359
2024-10-17 00:00:00+00:00,1001838.1414963618
2024-10-18 00:00:00+00:00,1002251.656071815
2024-10-19 00:00:00+00:00,1002114.4612373449
2024-10-20 00:00:00+00:00,1002066.6572169495
2024-10-21 00:00:00+00:00,1002212.0210721989
2024-10-22 00:00:00+00:00,1002212.0210721989
2024-10-23 00:00:00+00:00,1002219.7517021965
2024-10-24 00:00:00+00:00,1003245.4173807082
2024-10-25 00:00:00+00:00,1002542.1743367763
2024-10-26 00:00:00+00:00,1002542.1743367763
2024-10-27 00:00:00+00:00,1005514.0691544735
2024-10-28 00:00:00+00:00,1003870.9878455194
2024-10-29 00:00:00+00:00,1005472.5964979327
2024-10-30 00:00:00+00:00,1005472.5964979327
2024-10-31 00:00:00+00:00,1006010.2681866637
2024-11-01 00:00:00+00:00,1006523.5985679047
2024-11-02 00:00:00+00:00,1006523.5985679047
2024-11-03 00:00:00+00:00,1005177.7537132142
2024-11-04 00:00:00+00:00,1007577.026673526
2024-11-05 00:00:00+00:00,1005068.6689052305
2024-11-06 00:00:00+00:00,1004996.0787059056
2024-11-07 00:00:00+00:00,1002314.8704127464
2024-11-08 00:00:00+00:00,1002314.8704127464
2024-11-09 00:00:00+00:00,1002314.8704127464
2024-11-10 00:00:00+00:00,1002889.3500973759
2024-11-11 00:00:00+00:00,1012644.1178946284
2024-11-12 00:00:00+00:00,1009857.4806011631
2024-11-13 00:00:00+00:00,1009260.9027380581
2024-11-14 00:00:00+00:00,1009260.9027380581
2024-11-15 00:00:00+00:00,1009033.8143758733
2024-11-16 00:00:00+00:00,1008859.7594578286
2024-11-17 00:00:00+00:00,1007001.4915456128
2024-11-18 00:00:00+00:00,1005191.1876734254
2024-11-19 00:00:00+00:00,1004534.8198018185
2024-11-20 00:00:00+00:00,1004534.8198018185
2024-11-21 00:00:00+00:00,1004678.1861120928
2024-11-22 00:00:00+00:00,1004678.1861120928
2024-11-23 00:00:00+00:00,1004739.6218223934
2024-11-24 00:00:00+00:00,1004678.63522234
2024-11-25 00:00:00+00:00,1004820.0747221571
2024-11-26 00:00:00+00:00,1006668.9356525893
2024-11-27 00:00:00+00:00,1006805.4876758932
2024-11-28 00:00:00+00:00,1005996.0708289111
2024-11-29 00:00:00+00:00,1002647.3959821799
2024-11-30 00:00:00+00:00,1002647.3959821799
2024-12-01 00:00:00+00:00,1001983.5350483264
2024-12-02 00:00:00+00:00,1003596.5106136781
2024-12-03 00:00:00+00:00,1006009.4018036713
2024-12-04 00:00:00+00:00,1004033.9719310304
2024-12-05 00:00:00+00:00,1003573.9114374528
2024-12-06 00:00:00+00:00,999878.7376500001
2024-12-07 00:00:00+00:00,999878.7376500001
2024-12-08 00:00:00+00:00,998790.0423997494
2024-12-09 00:00:00+00:00,996210.8221031982
2024-12-10 00:00:00+00:00,996417.975359826
2024-12-11 00:00:00+00:00,996807.1588515041
2024-12-12 00:00:00+00:00,996725.495076376
2024-12-13 00:00:00+00:00,996198.9096503065
2024-12-14 00:00:00+00:00,995303.0632352952
2024-12-15 00:00:00+00:00,996553.8595622855
2024-12-16 00:00:00+00:00,994359.2262479821
2024-12-17 00:00:00+00:00,994968.505916166
2024-12-18 00:00:00+00:00,997987.5422404653
2024-12-19 00:00:00+00:00,998262.4009283914
2024-12-20 00:00:00+00:00,1001150.9887806765
2024-12-21 00:00:00+00:00,1001150.9887806765
2024-12-22 00:00:00+00:00,1002922.4461522079
2024-12-23 00:00:00+00:00,1003887.7334264275
2024-12-24 00:00:00+00:00,1003887.7334264275
2024-12-25 00:00:00+00:00,1003887.7334264275
2024-12-26 00:00:00+00:00,1001241.8817081046
2024-12-27 00:00:00+00:00,999720.8106846617
2024-12-28 00:00:00+00:00,999608.0057716371
2024-12-29 00:00:00+00:00,999810.8179647056
2024-12-30 00:00:00+00:00,1001174.9984751088
2024-12-31 00:00:00+00:00,1001174.9984751088
2025-01-01 00:00:00+00:00,999932.7308200427
2025-01-02 00:00:00+00:00,1004220.2496836183
2025-01-03 00:00:00+00:00,1002928.8430194741
2025-01-04 00:00:00+00:00,1002928.8430194741
2025-01-05 00:00:00+00:00,1001230.3566698647
2025-01-06 00:00:00+00:00,997554.4134823001
2025-01-07 00:00:00+00:00,997385.3666704306
2025-01-08 00:00:00+00:00,998299.6869516901
2025-01-09 00:00:00+00:00,1000501.7239155801
2025-01-10 00:00:00+00:00,999921.1840137495
2025-01-11 00:00:00+00:00,999589.0613919781
2025-01-12 00:00:00+00:00,998007.5963150195
2025-01-13 00:00:00+00:00,1004671.1487690068
2025-01-14 00:00:00+00:00,1004671.1487690068
2025-01-15 00:00:00+00:00,1005176.3736342575
2025-01-16 00:00:00+00:00,1004040.2401734915
2025-01-17 00:00:00+00:00,1005523.3610856489
2025-01-18 00:00:00+00:00,1005587.7876987398
