symbol,model,entry_time,exit_time,side,entry_price,exit_price,weight,regime,PnL,exit_reason,bars_held
BZ=F,B,2024-04-25 19:00:00+00:00,2024-04-26 14:00:00+00:00,1.0,89.17000366210938,88.85999988555908,0.4922995494547138,shock,-1959.4793944048408,stop,17
BZ=F,B,2024-04-29 15:00:00+00:00,2024-04-29 16:00:00+00:00,-1.0,88.18999694824218,88.77499453226726,1.5396586218601869,transition,-2502.125520132944,stop,2
BZ=F,B,2024-05-01 16:00:00+00:00,2024-05-02 18:00:00+00:00,-1.0,83.61000274658203,84.1062495803833,0.3135205248704328,shock,2102.937741634725,stop,26
BZ=F,B,2024-05-08 09:00:00+00:00,2024-05-08 13:00:00+00:00,-1.0,82.04999755859374,82.61125541687012,1.3790721834292252,transition,-118.23735327871873,stop,5
BZ=F,B,2024-05-10 16:00:00+00:00,2024-05-13 07:00:00+00:00,-1.0,83.29999755859374,82.985004196167,0.5722050985241114,shock,5080.479498784547,stop,15
BZ=F,B,2024-05-14 13:00:00+00:00,2024-05-14 13:00:00+00:00,-1.0,82.82000183105468,82.91124797821045,1.556631257208354,shock,874.0384933349169,stop,1
BZ=F,B,2024-05-15 12:00:00+00:00,2024-05-15 15:00:00+00:00,-1.0,81.90999816894531,82.15999771118165,1.2104801452682252,transition,7100.605734067324,stop,4
BZ=F,B,2024-05-16 14:00:00+00:00,2024-05-20 12:00:00+00:00,1.0,83.48000122070313,83.62999843597412,1.2468839777005847,shock,1552.7396301552758,stop,45
BZ=F,B,2024-05-21 08:00:00+00:00,2024-05-21 14:00:00+00:00,-1.0,83.01999877929687,83.09249664306641,1.3206365040981496,transition,9753.704514456645,stop,7
BZ=F,B,2024-05-23 18:00:00+00:00,2024-05-24 13:00:00+00:00,-1.0,81.07000183105468,81.5950009918213,1.2282245706432866,transition,2383.74550979157,stop,19
