品种,模型,总收益,Sharpe,Calmar,盈亏比,最大回撤,交易次数,期望收益
SPY,A,0.15988179079737241,2.5058671345349213,5.27629080959407,2.158281292323856,-0.009970552663994714,209.0,764.9846449635197
SPY,B,0.15203882699618143,2.6801114637392693,6.275816958454087,2.570377946262797,-0.007989664291556675,167.0,910.4121377016646
SPY,C,0.04229371568431772,1.2432081736999283,1.4588436273911236,2.1487559664799982,-0.009886148165822672,51.0,829.2885428297624
SPY,D,0.0169398552944533,0.5858351807087843,0.36035867040530545,1.5045623135121071,-0.016160563991353127,38.0,445.7856656435247
SPY,E,0.09851276515647367,2.3250626830141505,3.0433215775941753,2.296396398868321,-0.010847438849629576,145.0,679.3983803894558
SPY,SCORE,0.018435652878761255,0.5135133202403727,0.42327223456189794,1.0964837874500268,-0.014966177028929217,772.0,23.880379376636075
SPY,BHS,0.7368831550003683,1.3481072849366336,1.1094768981950365,,-0.1895252562450741,0.0,
SPY,BO,0.15988179079737241,2.5058671345349213,5.27629080959407,2.158281292323856,-0.009970552663994714,209.0,764.9846449635197
QQQ,A,0.18060876936282733,2.761305738915993,4.064356709211155,2.280328011956627,-0.014534185147135115,213.0,847.9284946611624
QQQ,B,0.15006046756049063,2.782208435202445,6.3287217158779665,2.550567332164437,-0.007824318009666209,174.0,862.4164802326949
QQQ,C,0.05446614872008726,1.463328118904577,1.084927074753217,2.4059743200453707,-0.017053712933309373,52.0,1047.4259369247839
QQQ,D,0.031839275849500526,1.072785825558577,0.9053425242951176,2.3261646557440767,-0.012032456361949051,35.0,909.6935956999968
QQQ,E,0.0937065226838083,2.0816451414670247,2.2235235454823306,2.056662895958226,-0.014143160491635443,157.0,596.8568323809498
QQQ,SCORE,0.021194060185813157,0.6248330313824407,0.6554488184452539,1.1188130995458219,-0.011100984933506086,805.0,26.328025075541795
QQQ,BHS,0.9132949768395997,1.1986983024859899,1.1000717118472552,,-0.22855661628404378,0.0,
QQQ,BO,0.18060876936282733,2.761305738915993,4.064356709211155,2.280328011956627,-0.014534185147135115,213.0,847.9284946611624
Brent,A,0.15559522617203214,1.4989469190956382,2.4093535930183267,1.409498303239561,-0.02127590412764202,493.0,315.60897803657684
Brent,B,0.08857187114288112,1.1509057508454155,1.6350116600468074,1.3523782815635321,-0.01820853641053921,372.0,238.09642780344078
Brent,C,0.013671333165905963,0.2851748500132163,0.1595860929764635,1.1524035579940213,-0.029481975436800867,89.0,153.61048501015875
Brent,D,0.01703728384548442,0.37598816593268186,0.20320550153092698,1.2437211912925654,-0.028822591524301333,66.0,258.1406643255168
Brent,E,0.060919606341640176,0.9621813414468152,1.0312840056101564,1.3204994846101077,-0.020025981427038486,326.0,186.86995810318672
Brent,SCORE,-0.06501939207970853,-1.4546825316012886,-0.2710422200158253,0.8211040428612784,-0.08475380280671008,1553.0,-41.866962060339986
Brent,BHS,0.21945989679237998,0.3714704130010652,0.1887603797115287,,-0.37609688447418776,0.0,
Brent,BO,0.15559522617203214,1.4989469190956382,2.4093535930183267,1.409498303239561,-0.02127590412764202,493.0,315.60897803657684
Gold,A,0.22687947862141455,2.1256165559056797,2.944552543379604,1.6009886641437459,-0.02469768391295446,494.0,459.2701996384919
Gold,B,0.1645932241587822,1.8287541362136388,2.114905920976995,1.5683405045853849,-0.025393779091988478,406.0,405.4020299477453
Gold,C,0.07511485474058155,1.294758334422973,1.6494906470678146,1.9122506778096042,-0.015264019096579928,98.0,766.4781095977842
Gold,D,0.03372173526844402,0.7637389332161798,0.567163236961596,1.5629621384623742,-0.02019107778118856,68.0,495.90787159475406
Gold,E,0.1110073262377389,1.8599630893155026,2.4988061526424556,1.6180062489493066,-0.014727739461665168,326.0,340.5132706679166
Gold,SCORE,-0.07593340576324348,-1.7216767678609857,-0.3165959456199543,0.7928691590716814,-0.0844876795132522,1679.0,-45.225375677930515
Gold,BHS,0.8636596666385581,1.1074836213231174,0.8515031464860173,,-0.27984979934667453,0.0,
Gold,BO,0.22687947862141455,2.1256165559056797,2.944552543379604,1.6009886641437459,-0.02469768391295446,494.0,459.2701996384919
BTC,A,0.07405946403845887,0.6969435023894731,0.4328598738365771,1.1395901620584532,-0.0577661840390562,748.0,99.00997866103792
BTC,B,0.04905436174220057,0.6223178478772404,0.4064517813536387,1.134952637948452,-0.04106773854850343,599.0,81.89375916894295
BTC,C,0.02305148723492967,0.4532138657061536,0.37691300668157235,1.2769410130723888,-0.020983817234600965,92.0,250.55964385794235
BTC,D,0.006427834974870095,0.15073765226785676,0.12099295996534251,1.0957807141300608,-0.018325954567234626,68.0,94.52698492456643
BTC,E,0.07504412557956419,1.0923149343158358,1.2123524673445394,1.2903161865129735,-0.02089276630807202,423.0,177.40928032993745
BTC,SCORE,-0.1779549856691911,-3.7914888372312716,-0.367264773566196,0.644703129702161,-0.17833437751763426,2260.0,-78.74114410141367
BTC,BHS,0.25812858051868415,0.3990353299144997,0.15561386333583102,,-0.5308783529140331,0.0,
BTC,BO,0.07405946403845887,0.6969435023894731,0.4328598738365771,1.1395901620584532,-0.0577661840390562,748.0,99.00997866103792
