Datetime,equity
2024-04-23 00:00:00+00:00,1000000.0
2024-04-24 00:00:00+00:00,999725.704306092
2024-04-25 00:00:00+00:00,998397.7759271656
2024-04-26 00:00:00+00:00,997403.9296423153
2024-04-28 00:00:00+00:00,997403.9296423153
2024-04-29 00:00:00+00:00,996815.231358768
2024-04-30 00:00:00+00:00,998198.1577001449
2024-05-01 00:00:00+00:00,996441.5395723471
2024-05-02 00:00:00+00:00,996441.5395723471
2024-05-03 00:00:00+00:00,996441.5395723471
2024-05-05 00:00:00+00:00,996441.5395723471
2024-05-06 00:00:00+00:00,996110.0896999775
2024-05-07 00:00:00+00:00,994943.4510377056
2024-05-08 00:00:00+00:00,992256.4205557257
2024-05-09 00:00:00+00:00,992658.3105413275
2024-05-10 00:00:00+00:00,992167.8134686223
2024-05-12 00:00:00+00:00,992167.8134686223
2024-05-13 00:00:00+00:00,992534.6373219345
2024-05-14 00:00:00+00:00,991941.8230221004
2024-05-15 00:00:00+00:00,991277.5781292438
2024-05-16 00:00:00+00:00,991544.1893038152
2024-05-17 00:00:00+00:00,991520.2441984379
2024-05-19 00:00:00+00:00,991520.2441984379
2024-05-20 00:00:00+00:00,990063.3831572303
2024-05-21 00:00:00+00:00,989150.8992458418
2024-05-22 00:00:00+00:00,988287.3513258772
2024-05-23 00:00:00+00:00,990645.7860771576
2024-05-24 00:00:00+00:00,990792.5324874205
2024-05-26 00:00:00+00:00,990792.5324874205
2024-05-27 00:00:00+00:00,990792.5324874205
2024-05-28 00:00:00+00:00,990563.5399352286
2024-05-29 00:00:00+00:00,990531.0912472416
2024-05-30 00:00:00+00:00,989834.4646347935
2024-05-31 00:00:00+00:00,989288.9851933046
2024-06-02 00:00:00+00:00,989288.9851933046
2024-06-03 00:00:00+00:00,989559.1526580966
2024-06-04 00:00:00+00:00,989113.6521731014
2024-06-05 00:00:00+00:00,990502.7531222615
2024-06-06 00:00:00+00:00,991684.3552171347
2024-06-07 00:00:00+00:00,991647.797630372
2024-06-09 00:00:00+00:00,991250.1642898169
2024-06-10 00:00:00+00:00,990914.5902180218
2024-06-11 00:00:00+00:00,990449.7295512569
2024-06-12 00:00:00+00:00,989370.3704226544
2024-06-13 00:00:00+00:00,988758.3686969607
2024-06-14 00:00:00+00:00,988851.2829841975
2024-06-16 00:00:00+00:00,988251.379474398
2024-06-17 00:00:00+00:00,987041.9955175661
2024-06-18 00:00:00+00:00,986062.7241458705
2024-06-19 00:00:00+00:00,986062.7241458705
2024-06-20 00:00:00+00:00,987704.4516643926
2024-06-21 00:00:00+00:00,988264.9818582117
2024-06-23 00:00:00+00:00,988264.9818582117
2024-06-24 00:00:00+00:00,987405.6461701291
2024-06-25 00:00:00+00:00,987944.7258493911
2024-06-26 00:00:00+00:00,987853.7040209554
2024-06-27 00:00:00+00:00,987758.0478656082
2024-06-28 00:00:00+00:00,985228.3928522776
2024-06-30 00:00:00+00:00,985228.3928522776
2024-07-01 00:00:00+00:00,985177.213191471
2024-07-02 00:00:00+00:00,984313.0949968413
2024-07-03 00:00:00+00:00,984315.1876059185
2024-07-05 00:00:00+00:00,984591.0248551742
2024-07-07 00:00:00+00:00,984591.0248551742
2024-07-08 00:00:00+00:00,983971.2141782362
2024-07-09 00:00:00+00:00,982639.1795402557
2024-07-10 00:00:00+00:00,980904.9803168945
2024-07-11 00:00:00+00:00,981008.2740534528
2024-07-12 00:00:00+00:00,980812.8532433348
2024-07-14 00:00:00+00:00,980812.8532433348
2024-07-15 00:00:00+00:00,981463.3530335787
2024-07-16 00:00:00+00:00,981687.8506521432
2024-07-17 00:00:00+00:00,980901.7317010402
2024-07-18 00:00:00+00:00,980593.2055740027
2024-07-19 00:00:00+00:00,982323.1449092389
2024-07-21 00:00:00+00:00,982323.1449092389
2024-07-22 00:00:00+00:00,982749.9506612766
2024-07-23 00:00:00+00:00,982929.1074198933
2024-07-24 00:00:00+00:00,982138.973267349
2024-07-25 00:00:00+00:00,982492.4011355548
2024-07-26 00:00:00+00:00,982975.4434573109
2024-07-28 00:00:00+00:00,983116.0651919936
2024-07-29 00:00:00+00:00,981602.8848345068
2024-07-30 00:00:00+00:00,981877.3658946118
2024-07-31 00:00:00+00:00,983308.2677508304
2024-08-01 00:00:00+00:00,981883.6138656924
2024-08-02 00:00:00+00:00,979876.3497480112
2024-08-04 00:00:00+00:00,979876.3497480112
2024-08-05 00:00:00+00:00,980450.2653001429
2024-08-06 00:00:00+00:00,979920.1111376256
2024-08-07 00:00:00+00:00,979731.7456104805
2024-08-08 00:00:00+00:00,979345.3205864457
2024-08-09 00:00:00+00:00,978316.0280770682
2024-08-11 00:00:00+00:00,978316.0280770682
2024-08-12 00:00:00+00:00,982228.0433230783
2024-08-13 00:00:00+00:00,981690.5576421984
2024-08-14 00:00:00+00:00,981680.5096958762
2024-08-15 00:00:00+00:00,981178.4795930589
2024-08-16 00:00:00+00:00,983520.715550176
2024-08-18 00:00:00+00:00,983785.4616286923
2024-08-19 00:00:00+00:00,983444.1228102623
2024-08-20 00:00:00+00:00,982667.0734794436
2024-08-21 00:00:00+00:00,981558.689799661
2024-08-22 00:00:00+00:00,982795.5235068732
2024-08-23 00:00:00+00:00,982593.468446889
2024-08-25 00:00:00+00:00,982887.3807981536
2024-08-26 00:00:00+00:00,983117.1755945134
2024-08-27 00:00:00+00:00,981211.9172015924
2024-08-28 00:00:00+00:00,981211.9172015924
2024-08-29 00:00:00+00:00,980585.3120636466
2024-08-30 00:00:00+00:00,980524.8200070424
2024-09-01 00:00:00+00:00,980524.8200070424
2024-09-02 00:00:00+00:00,980025.1353305298
2024-09-03 00:00:00+00:00,981185.6755681058
2024-09-04 00:00:00+00:00,981558.1741033199
2024-09-05 00:00:00+00:00,981620.0628960764
2024-09-06 00:00:00+00:00,981060.842153153
2024-09-08 00:00:00+00:00,981060.842153153
2024-09-09 00:00:00+00:00,980860.8139218215
2024-09-10 00:00:00+00:00,980219.7082609056
2024-09-11 00:00:00+00:00,979451.575942806
2024-09-12 00:00:00+00:00,979848.0988632424
2024-09-13 00:00:00+00:00,980494.1089919157
2024-09-15 00:00:00+00:00,980397.0432397361
2024-09-16 00:00:00+00:00,980095.404234082
2024-09-17 00:00:00+00:00,979513.2766624842
2024-09-18 00:00:00+00:00,978103.5366027108
2024-09-19 00:00:00+00:00,978103.5366027108
